Aeromexico,255,0,120,230,AMX
Aeromexico (Regional Partners),255,0,120,230,AMXX
Aeromexpress,255,120,150,230,MPX
Aeromist-Kharkiv,255,0,70,220,AHW
Aeromonterrey,255,120,140,190,MOT
Aeromorelos,255,120,170,110,MRL
Aeromover,255,140,210,40,OVE
Aeromundo Ejecutivo,255,120,200,130,MUN
Aeron International Airlines,255,0,230,80,AXI
Aeronautica Castellana,255,40,20,110,ECL
Aeronautica La Esperanza,255,40,180,250,ESZ
Aeronautica Venezolana (Aierovenca),255,0,210,20,AVC
Aeronautical Academy of Europe,255,40,210,170,EVR
Aeronautical Fixed Station,255,240,50,240,YFY
Aeronautical Information Service Unit,255,240,140,240,YOY
Aeronautical Station,255,240,180,240,YSY
Aeronautical Telecommunications,255,230,230,80,XXI
Aeronaves Del Centro,255,0,60,0,AGA
Aeronaves Del Noreste,255,30,170,140,DRO
Aeronaves Del Noroeste,255,40,130,220,ENW
Aeronaves Hafe,255,0,170,180,ARS
Aeronaves La Dorada,255,0,110,30,ALD
Aeronem Air Cargo,255,170,130,120,RNM
Aeronor,255,60,20,50,GCF
Aeronorte,255,0,130,170,ANR
Aeronorte - Transportes Aereos,255,170,190,40,RTE
Aero-North Aviation Services,255,180,100,150,SKP
Aeropac,255,180,190,100,STK
Aero-Palma,255,0,40,190,AET
Aeropelican Air Services,255,150,40,110,PEL
Aeropeninsular,255,150,180,200,PSU
Aeroperlas,255,0,150,150,APP
Aeroperu,255,150,110,80,PLI
Aeropiloto - Sociedade Exploradora de Servicos Aereos,255,0,140,150,AOP
Aeroponiente - Aerovias de Poniente,255,150,130,80,PNI
Aeroposta,255,170,150,140,RPO
Aeropostal Alas de Venezuela,255,110,0,210,LAV
Aeropostal Cargo de Mexico,255,150,20,60,PCG
Aeropostal de Mexico,255,150,190,230,PTX
Aeropro,255,0,150,140,APO
Aeropuelche,255,150,200,40,PUE
Aeropuma,255,0,150,200,APU
Aeroput,255,150,200,190,PUT
Aeropycsa,255,150,240,20,PYC
Aero-Pyrenees,255,40,0,150,EAP
Aero-Rent,255,170,40,130,REN
Aero-Rey,255,170,40,240,REY
Aerosaab,255,180,10,70,SBH
Aerosafin,255,50,80,20,FIC
Aerosan,255,140,180,130,OSN
Aerosec,255,40,170,100,ERK
Aerosegovia,255,180,60,210,SGV
